t,zenith,mu_s,beta_s,chi_s,key_s,sec_s,mu_a,betaA_a,chi_a,key_a,sec_a
150,56.1263,0.95,1.5,1,0,0,0.95,2.4,0,0,0
200,35.1016,0.95,1.5,1,0,0,0.95,0.3,0,0,0
250,0,0.95,1.5,1,1.10963e+07,2,0.95,1.525,0.75,1.46099e+07,3
300,35.1016,0.95,1.5,1,0,0,0.95,0.3,0,0,0
350,56.1263,0.95,1.5,1,0,0,0.95,2.4,0,0,0
400,57.6044,0.95,1.5,1,0,0,0.95,2.4,0,0,0
450,40.017,0.95,1.5,1,0,0,0.95,0.3,0,0,0
500,23.872,0.95,1.5,1,0,0,0.95,0.3,0,0,0
550,40.017,0.95,1.5,1,0,0,0.95,0.3,0,0,0
600,57.6044,0.95,1.5,1,0,0,0.95,2.4,0,0,0
700,49.569,0.95,1.5,1,0,0,0.95,1.175,0,0,0
750,42.1624,0.95,1.5,1,0,0,0.95,0.475,0,0,0
800,49.569,0.95,1.5,1,0,0,0.95,1.175,0,0,0
900,56.5105,0.95,1.5,1,0,0,0.95,2.4,0,0,0
950,36.4649,0.95,1.5,1,0,0,0.95,0.3,0,0,0
1000,12.4094,0.95,1.5,1,0,0,0.95,1.7,1,3.59966e+06,2
1050,36.4649,0.95,1.5,1,0,0,0.95,0.3,0,0,0
1100,56.5105,0.95,1.5,1,0,0,0.95,2.4,0,0,0
1150,59.2567,0.95,1.5,1,0,0,0.95,2.75,0,0,0
1200,44.6778,0.95,1.5,1,0,0,0.95,0.65,0,0,0
1250,33.8274,0.95,1.5,1,0,0,0.95,0.3,0,0,0
1300,44.6778,0.95,1.5,1,0,0,0.95,0.65,0,0,0
1350,59.2567,0.95,1.5,1,0,0,0.95,2.75,0,0,0
1400,56.1263,0.95,1.5,1,0,0,0.95,2.4,0,0,0
1450,35.1016,0.95,1.5,1,0,0,0.95,0.3,0,0,0
1500,0,0.95,1.5,1,1.10963e+07,2,0.95,1.525,0.75,1.46099e+07,3
1550,35.1016,0.95,1.5,1,0,0,0.95,0.3,0,0,0
1600,56.1263,0.95,1.5,1,0,0,0.95,2.4,0,0,0
1650,57.6044,0.95,1.5,1,0,0,0.95,2.4,0,0,0
1700,40.017,0.95,1.5,1,0,0,0.95,0.3,0,0,0
1750,23.872,0.95,1.5,1,0,0,0.95,0.3,0,0,0
1800,40.017,0.95,1.5,1,0,0,0.95,0.3,0,0,0
1850,57.6044,0.95,1.5,1,0,0,0.95,2.4,0,0,0
1950,49.569,0.95,1.5,1,0,0,0.95,1.175,0,0,0
2000,42.1624,0.95,1.5,1,0,0,0.95,0.475,0,0,0
2050,49.569,0.95,1.5,1,0,0,0.95,1.175,0,0,0
2150,56.5105,0.95,1.5,1,0,0,0.95,2.4,0,0,0
2200,36.4649,0.95,1.5,1,0,0,0.95,0.3,0,0,0
2250,12.4094,0.95,1.5,1,0,0,0.95,1.7,1,3.59966e+06,2
2300,36.4649,0.95,1.5,1,0,0,0.95,0.3,0,0,0
2350,56.5105,0.95,1.5,1,0,0,0.95,2.4,0,0,0
2400,59.2567,0.95,1.5,1,0,0,0.95,2.75,0,0,0
2450,44.6778,0.95,1.5,1,0,0,0.95,0.65,0,0,0
2500,33.8274,0.95,1.5,1,0,0,0.95,0.3,0,0,0
2550,44.6778,0.95,1.5,1,0,0,0.95,0.65,0,0,0
2600,59.2567,0.95,1.5,1,0,0,0.95,2.75,0,0,0
