delta,kan_keyret,kan_secP,mlp_keyret,mlp_secP,knn_keyret,knn_secP,linear_keyret,linear_secP
0.000,0.842463,37,0.692228,29,0.562189,23,0.614453,19
0.025,0.886612,44,0.772589,37,0.746326,33,0.735317,31
0.050,0.874407,45,0.839366,42,0.807641,38,0.741482,36
0.075,0.862386,46,0.815825,42,0.827996,41,0.77158,38
0.100,0.850006,47,0.792646,42,0.847534,43,0.74953,39
0.125,0.825359,47,0.769837,42,0.824074,45,0.727353,39
0.150,0.801121,47,0.747403,42,0.799999,45,0.707044,40
0.175,0.7773,47,0.725349,42,0.776574,46,0.691005,42
0.200,0.753771,46,0.70368,42,0.753305,46,0.669615,42
0.225,0.730805,46,0.682277,41,0.730455,46,0.648635,42
0.250,0.708268,46,0.661399,41,0.70803,46,0.627944,41
0.275,0.686163,46,0.640916,41,0.686031,46,0.607803,41
0.300,0.664493,46,0.620831,41,0.664463,46,0.588079,41
0.400,0.582198,46,0.544504,41,0.582409,45,0.513272,40
0.600,0.438482,43,0.410958,38,0.439176,42,0.383524,37
0.800,0.322227,42,0.302662,37,0.323212,41,0.279641,37
1.000,0.230759,40,0.217217,35,0.23167,38,0.198387,34
1.200,0.161107,38,0.151977,33,0.161961,36,0.137214,32
1.400,0.109362,34,0.103329,29,0.110422,35,0.0924084,30
